sorteio_index,concurso,data,previsto_1,previsto_2,previsto_3,previsto_4,previsto_5,previsto_6,real_1,real_2,real_3,real_4,real_5,real_6,acertos
2836,2837,08/03/2025,1,13,28,37,46,60,1,6,10,30,42,50,1
2837,2838,11/03/2025,1,13,28,37,46,60,3,14,34,35,42,50,0
2838,2839,13/03/2025,1,13,28,37,46,60,4,7,29,32,36,53,0
2839,2840,15/03/2025,1,13,28,37,46,60,27,30,37,40,46,47,2
2840,2841,18/03/2025,1,13,28,37,46,60,1,33,39,49,57,60,2
2841,2842,20/03/2025,1,13,28,37,46,60,4,5,12,34,36,48,0
2842,2843,22/03/2025,1,13,28,37,46,60,4,8,49,51,52,55,0
2843,2844,25/03/2025,1,13,28,37,46,60,1,37,39,40,43,59,2
2844,2845,27/03/2025,1,13,28,37,46,60,7,20,31,54,55,58,0
2845,2846,29/03/2025,1,13,28,37,46,60,10,31,40,52,54,56,0
2846,2847,01/04/2025,1,13,28,37,46,60,1,12,16,17,25,57,1
2847,2848,03/04/2025,1,13,28,37,46,60,3,5,22,35,53,56,0
2848,2849,05/04/2025,1,13,28,37,46,60,5,14,19,29,30,54,0
2849,2850,08/04/2025,1,13,28,37,46,60,13,19,25,29,31,43,1
2850,2851,10/04/2025,1,13,28,37,46,60,1,2,15,26,43,50,1
2851,2852,12/04/2025,1,13,28,37,46,60,5,6,17,37,43,54,1
2852,2853,15/04/2025,1,13,28,37,46,60,6,22,24,49,53,56,0
2853,2854,19/04/2025,1,13,28,37,46,60,4,18,23,48,53,56,0
2854,2855,24/04/2025,1,13,28,37,46,60,2,13,16,31,44,55,1
2855,2856,26/04/2025,1,13,28,37,46,60,12,16,24,31,51,55,0
2856,2857,29/04/2025,1,13,28,37,46,60,3,5,10,27,38,48,0
2857,2858,03/05/2025,1,13,28,37,46,60,2,18,28,38,41,50,1
2858,2859,06/05/2025,1,13,28,37,46,60,8,18,27,28,48,52,1
2859,2860,08/05/2025,1,13,28,37,46,60,7,8,15,17,20,51,0
2860,2861,10/05/2025,1,13,28,37,46,60,2,5,17,24,38,57,0
2861,2862,13/05/2025,1,13,28,37,46,60,2,21,27,46,51,53,1
2862,2863,15/05/2025,1,13,28,37,46,60,2,4,14,18,22,44,0
2863,2864,17/05/2025,1,13,28,37,46,60,5,23,32,34,47,56,0
2864,2865,20/05/2025,1,13,28,37,46,60,5,6,15,17,31,53,0
2865,2866,22/05/2025,1,13,28,37,46,60,2,25,30,39,47,51,0
2866,2867,24/05/2025,1,13,28,37,46,60,1,12,17,19,36,60,2
2867,2868,27/05/2025,1,13,28,37,46,60,5,9,15,24,25,60,1
2868,2869,29/05/2025,1,13,28,37,46,60,10,19,22,26,38,51,0
2869,2870,31/05/2025,1,13,28,37,46,60,2,10,13,40,41,53,1
2870,2871,03/06/2025,1,13,28,37,46,60,6,13,15,19,32,60,2
2871,2872,05/06/2025,1,13,28,37,46,60,4,19,38,43,48,55,0
2872,2873,07/06/2025,1,13,28,37,46,60,8,23,32,34,35,57,0
2873,2874,10/06/2025,1,13,28,37,46,60,4,5,17,27,52,56,0
2874,2875,12/06/2025,1,13,28,37,46,60,4,5,9,17,49,53,0
2875,2876,14/06/2025,1,13,28,37,46,60,6,15,31,38,40,49,0
2876,2877,17/06/2025,1,13,28,37,46,60,9,31,32,40,45,55,0
2877,2878,21/06/2025,1,13,28,37,46,60,3,5,15,37,54,57,1
2878,2879,24/06/2025,1,13,28,37,46,60,15,16,43,46,47,51,1
2879,2880,26/06/2025,1,13,28,37,46,60,11,20,29,47,52,56,0
2880,2881,28/06/2025,1,13,28,37,46,60,8,14,15,33,34,54,0
2881,2882,01/07/2025,1,13,28,37,46,60,11,13,16,34,35,39,1
2882,2883,03/07/2025,1,13,28,37,46,60,11,15,19,23,49,51,0
2883,2884,05/07/2025,1,13,28,37,46,60,1,40,43,56,57,60,2
2884,2885,08/07/2025,1,13,28,37,46,60,5,31,34,37,52,56,1
2885,2886,10/07/2025,1,13,28,37,46,60,10,25,28,36,37,56,2
2886,2887,12/07/2025,1,13,28,37,46,60,2,13,19,20,55,59,1
2887,2888,15/07/2025,1,13,28,37,46,60,14,29,30,50,53,57,0
2888,2889,17/07/2025,1,13,28,37,46,60,3,9,15,27,39,59,0
2889,2890,19/07/2025,1,13,28,37,46,60,13,16,36,39,40,55,1
2890,2891,22/07/2025,1,13,28,37,46,60,15,16,18,32,35,54,0
2891,2892,24/07/2025,1,13,28,37,46,60,19,24,26,34,35,54,0
2892,2893,26/07/2025,1,13,28,37,46,60,14,24,36,44,46,54,1
2893,2894,29/07/2025,1,13,28,37,46,60,10,40,41,45,48,50,0
2894,2895,31/07/2025,1,13,28,37,46,60,5,21,24,25,29,49,0
2895,2896,02/08/2025,1,13,28,37,46,60,9,11,44,51,52,56,0
2896,2897,05/08/2025,1,13,28,37,46,60,8,9,12,16,43,53,0
2897,2898,07/08/2025,1,13,28,37,46,60,1,6,24,27,28,57,2
2898,2899,09/08/2025,1,13,28,37,46,60,14,23,30,32,38,48,0
2899,2900,12/08/2025,1,13,28,37,46,60,10,22,28,42,44,51,1
2900,2901,14/08/2025,1,13,28,37,46,60,33,50,54,55,59,60,1
2901,2902,16/08/2025,1,13,28,37,46,60,2,20,28,38,44,47,1
2902,2903,19/08/2025,1,13,28,37,46,60,8,21,22,42,45,48,0
2903,2904,21/08/2025,1,13,28,37,46,60,20,24,27,46,50,54,1
2904,2905,23/08/2025,1,13,28,37,46,60,2,37,38,46,52,55,2
2905,2906,26/08/2025,1,13,28,37,46,60,4,17,18,26,43,52,0
2906,2907,28/08/2025,1,13,28,37,46,60,17,33,37,41,46,49,2
2907,2908,30/08/2025,1,13,28,37,46,60,30,33,42,44,52,56,0
2908,2909,02/09/2025,1,13,28,37,46,60,20,35,36,37,38,50,1
2909,2910,04/09/2025,1,13,28,37,46,60,8,21,31,41,53,58,0
2910,2911,06/09/2026,1,13,28,37,46,60,3,4,11,15,28,29,1
2911,2912,09/09/2027,1,13,28,37,46,60,23,27,32,54,56,59,0
2912,2913,11/09/2028,1,13,28,37,46,60,9,25,37,41,51,59,1
2913,2914,13/09/2025,1,13,28,37,46,60,17,21,34,52,55,60,1
2914,2915,16/09/2025,1,13,28,37,46,60,18,25,35,40,46,47,1
2915,2916,18/09/2025,1,13,28,37,46,60,10,11,15,38,52,60,1
2916,2917,20/09/2025,1,13,28,37,46,60,5,11,16,27,40,45,0
2917,2918,23/09/2025,1,13,28,37,46,60,6,19,38,41,46,57,1
2918,2919,25/09/2025,1,13,28,37,46,60,11,27,31,41,48,54,0
2919,2920,27/09/2025,1,13,28,37,46,60,3,26,28,37,42,53,2
2920,2921,30/09/2025,1,13,28,37,46,60,8,12,16,19,31,58,0
2921,2922,02/10/2025,1,13,28,37,46,60,9,12,14,16,26,36,0
2922,2923,04/10/2025,1,13,28,37,46,60,4,23,30,39,40,41,0
2923,2924,07/10/2025,1,13,28,37,46,60,18,27,32,39,55,56,0
2924,2925,09/10/2025,1,13,28,37,46,60,10,19,30,40,48,54,0
2925,2926,11/10/2025,1,13,28,37,46,60,7,9,12,13,24,27,1
2926,2927,14/10/2025,1,13,28,37,46,60,3,4,14,35,45,49,0
2927,2928,16/10/2025,1,13,28,37,46,60,11,27,34,55,56,58,0
2928,2929,18/10/2025,1,13,28,37,46,60,14,24,29,32,46,48,1
2929,2930,21/10/2025,1,13,28,37,46,60,3,7,8,34,35,51,0
2930,2931,23/10/2025,1,13,28,37,46,60,1,11,13,14,36,45,2
2931,2932,25/10/2025,1,13,28,37,46,60,4,19,23,36,47,52,0
2932,2933,28/10/2025,1,13,28,37,46,60,4,13,25,36,40,53,1
2933,2934,30/10/2025,1,13,28,37,46,60,1,18,22,42,48,50,1
2934,2935,01/11/2025,1,13,28,37,46,60,9,17,23,26,33,59,0
2935,2936,04/11/2025,1,13,28,37,46,60,9,18,28,34,38,57,1
